,$\hat\theta_1$,$\hat\theta_2$,time_range,dataset_index
0,0.2183255764206138,1.9743325610250473,$T_1'$,0
1,0.21891520918528387,1.9742431642426683,$T_1'$,1
2,0.21799835227969142,1.974214899070947,$T_1'$,2
3,0.21981785883712443,1.9698647335596482,$T_1'$,3
4,0.21846973123584648,1.9726946447117664,$T_1'$,4
5,0.21767336128710013,1.9730908736854893,$T_1'$,5
6,0.21887024608896113,1.9741335053889029,$T_1'$,6
7,0.21765422456147446,1.9737536280768515,$T_1'$,7
8,0.21853394691055508,1.9728589472001838,$T_1'$,8
9,0.21756456668255805,1.975989837267441,$T_1'$,9
10,0.5531081788613101,1.5645404508886986,$T_2'$,0
11,0.5557724178419798,1.5635458495281687,$T_2'$,1
12,0.5536773466089863,1.5653200719764016,$T_2'$,2
13,0.5524538891614762,1.5630580909976781,$T_2'$,3
14,0.5524184049922786,1.5662460244317917,$T_2'$,4
15,0.5549639644769501,1.5670770817511364,$T_2'$,5
16,0.5522014900653268,1.566824624766284,$T_2'$,6
17,0.5584540022046329,1.5615328633926304,$T_2'$,7
18,0.5531621021646443,1.5672432748440779,$T_2'$,8
19,0.553239154438074,1.5654897133585441,$T_2'$,9
20,0.8860589854809715,1.1085558317494186,$T_3'$,0
21,0.8730176192836686,1.1202274723809598,$T_3'$,1
22,0.8906389326479742,1.10570874057768,$T_3'$,2
23,0.8797476632471665,1.1111817907561488,$T_3'$,3
24,0.8822800882101254,1.112173210924468,$T_3'$,4
25,0.8813933417654225,1.1168101645209465,$T_3'$,5
26,0.8849736501868467,1.107934740504575,$T_3'$,6
27,0.889517582445752,1.1101875770801708,$T_3'$,7
28,0.8872740401377845,1.1086612098735595,$T_3'$,8
29,0.8865493894965367,1.1089692841191663,$T_3'$,9
30,0.9870401913257028,1.0142775079860928,$T_4'$,0
31,0.9961727293220667,1.0054937875677292,$T_4'$,1
32,1.0071330551079383,0.9964134264369526,$T_4'$,2
33,0.9798622691702809,1.0136776353068409,$T_4'$,3
34,0.9764871875982262,1.0198853433623036,$T_4'$,4
35,0.9713728920067535,1.0242139067172187,$T_4'$,5
36,0.9913014064058718,1.0073700556378689,$T_4'$,6
37,0.9985445005518292,1.0067251769755439,$T_4'$,7
38,0.9889077269351245,1.0098131562887296,$T_4'$,8
39,0.9978970630373891,1.0044677355204605,$T_4'$,9
40,0.5292887799586132,1.7097053981646655,$T_{\textrm{all}}'$,0
41,0.5286054229925062,1.7110922973139913,$T_{\textrm{all}}'$,1
42,0.5297748415259284,1.709028152059204,$T_{\textrm{all}}'$,2
43,0.5286085590259493,1.7080534691834608,$T_{\textrm{all}}'$,3
44,0.5292576782724063,1.7085952926913834,$T_{\textrm{all}}'$,4
45,0.5305584680385221,1.7076868653775,$T_{\textrm{all}}'$,5
46,0.5291598801477415,1.710512905502029,$T_{\textrm{all}}'$,6
47,0.5315782881738796,1.7078713077155767,$T_{\textrm{all}}'$,7
48,0.5298906122897435,1.708513878152623,$T_{\textrm{all}}'$,8
49,0.5297910908433812,1.709443206073214,$T_{\textrm{all}}'$,9
