,b_1_a,b_1_b,k_b_a,b_a0_a,b_a0_b,b_a1_a,b_a1_b,k_f_a,a_a1_a,a_a1_b,a_a0_a,a_a0_b,a_1_a,a_1_b,g_Kr,RMSE,iterations,CPU_time,score,well,protocol
0,0.006511388502285444,0.032668089431023214,0.03595372631857751,0.05156665073143869,0.06419508158423627,6.938396474600168e-05,0.0417232681802468,0.02417868874229873,0.01383436484209235,0.037370085633474506,0.023009440730707476,0.010930112718406448,0.09104494592476839,0.023402170327800186,0.15243005559339243,138.1894537161462,1507,4445.0679048189995,138.1894537161462,8,staircaseramp1
1,0.006511042552200735,0.032669291076465545,0.03640848226378566,0.05119047455863019,0.06423383559250366,6.935192551812069e-05,0.041727480521266666,0.024374954661641694,0.013817602353645448,0.0371773492661567,0.022924567060558645,0.01106523049752431,0.09103797449841751,0.02340144434343441,0.15242805650845412,138.18951797062886,1004,2992.713590644,138.18951797062886,8,staircaseramp1
2,0.006511302993190901,0.03266858865409693,0.03584704986298503,0.05188438402333342,0.06437171503921221,6.933235989719288e-05,0.041729141336424566,0.024222028947646024,0.013695071329031737,0.03738032090536499,0.023278928023773314,0.010765055256823966,0.09104149715231011,0.02340222529762944,0.15242812809801423,138.18941027454926,1147,3605.895319215,138.18941027454926,8,staircaseramp1
3,0.006511292801836404,0.03266858832928669,0.03583775771553011,0.05187743607847177,0.06436574450615062,6.933151038910823e-05,0.04172924390257523,0.024215216395722924,0.013695535801461059,0.03738745723381652,0.02327834843785158,0.010766525724654908,0.09104181638184018,0.02340219138051142,0.15242843626192337,138.18940987802443,1628,5170.146676973,138.18940987802443,8,staircaseramp1
4,0.0065113453893101015,0.03266810396881138,0.03613383754401303,0.05123934979640087,0.06409807747344312,6.939437765074873e-05,0.04172218007407781,0.024214323552590667,0.013891462782716777,0.03732350918860889,0.022838892132180526,0.011063712180986056,0.0910443044134874,0.023402254136999135,0.15242948223801034,138.18951289873937,1140,3490.8127594920006,138.18951289873937,8,staircaseramp1
5,0.006511285601628804,0.03266858547865303,0.03583932255522684,0.05187979038890683,0.06436657325602273,6.933282312663127e-05,0.04172912244349125,0.024218826628306087,0.013695958706982403,0.03738051049618844,0.023274732205142038,0.010770537100026536,0.091041526503049,0.023402138802452094,0.15242850606231598,138.18941040014107,1024,3046.829166552001,138.18941040014107,8,staircaseramp1
6,0.006511388502285444,0.032668089431023214,0.03595372631857751,0.05156665073143869,0.06419508158423627,6.938396474600168e-05,0.0417232681802468,0.02417868874229873,0.01383436484209235,0.037370085633474506,0.023009440730707476,0.010930112718406448,0.09104494592476839,0.023402170327800186,0.15243005559339243,138.1894537161462,1507,4657.638848339,138.1894537161462,8,staircaseramp1
7,0.006511042552200735,0.032669291076465545,0.03640848226378566,0.05119047455863019,0.06423383559250366,6.935192551812069e-05,0.041727480521266666,0.024374954661641694,0.013817602353645448,0.0371773492661567,0.022924567060558645,0.01106523049752431,0.09103797449841751,0.02340144434343441,0.15242805650845412,138.18951797062886,1004,3153.1743873429996,138.18951797062886,8,staircaseramp1
8,0.006511302993190901,0.03266858865409693,0.03584704986298503,0.05188438402333342,0.06437171503921221,6.933235989719288e-05,0.041729141336424566,0.024222028947646024,0.013695071329031737,0.03738032090536499,0.023278928023773314,0.010765055256823966,0.09104149715231011,0.02340222529762944,0.15242812809801423,138.18941027454926,1147,3596.342020741,138.18941027454926,8,staircaseramp1
9,0.006511292801836404,0.03266858832928669,0.03583775771553011,0.05187743607847177,0.06436574450615062,6.933151038910823e-05,0.04172924390257523,0.024215216395722924,0.013695535801461059,0.03738745723381652,0.02327834843785158,0.010766525724654908,0.09104181638184018,0.02340219138051142,0.15242843626192337,138.18940987802443,1628,5128.944987006002,138.18940987802443,8,staircaseramp1
