,a_1_a,a_1_b,b_a0_a,b_a0_b,k_b_a,a_a0_a,a_a0_b,b_1_a,b_1_b,b_a1_a,b_a1_b,a_a1_a,a_a1_b,k_f_a,g_Kr,RMSE,iterations,CPU_time,score,well,protocol
0,0.09104137047788334,0.023402093915600018,0.05187352982364559,0.06436216938295705,0.035832205503414025,0.023276447827763412,0.01076786882032584,0.006511276060001966,0.03266860418183835,6.933155909126313e-05,0.041729243575571076,0.013696305976082094,0.037390111260367495,0.02421139746040518,0.15242827525135857,138.18941040211476,1590,4489.120192376,138.18941040211476,8,staircaseramp1
1,0.09103714728997382,0.02340029385410001,0.050724279266714585,0.06365555565473291,0.0355850979819292,0.022482201045638292,0.011524683722532368,0.006510269599558138,0.03266805227903386,6.953345853938445e-05,0.041706218145707845,0.01397528877357594,0.037364344538278825,0.023946447424966738,0.15243968063254457,138.19035978228092,1652,4866.4333031589995,138.19035978228092,8,staircaseramp1
2,0.09102817701024098,0.0234005706510292,0.04978910496018183,0.06386851791657042,0.03718917029692958,0.022285043516623096,0.011674451351267852,0.00651039376174631,0.0326701652478203,6.937594510255923e-05,0.04172545650731148,0.013978927905528583,0.03691079079297726,0.024578618928934683,0.152427148288747,138.1900884232532,1409,4053.8784016480004,138.1900884232532,8,staircaseramp1
3,0.09104142755661694,0.023402085311215397,0.0518774962503879,0.06437428919929196,0.03584639203488576,0.023286059164844553,0.010767987414310645,0.006511295560406361,0.032668659829256534,6.932925794021588e-05,0.041729519122607917,0.013688093970393549,0.03737751739076425,0.024224659336207505,0.15242823030386293,138.1894105220654,1709,4964.062142891,138.1894105220654,8,staircaseramp1
4,0.09104197659747915,0.023402205270824098,0.051887488071027325,0.06437312789822391,0.03585185432251875,0.02327607584327012,0.01076733824854286,0.006511307101846613,0.032668465359332766,6.933366529585227e-05,0.041729039419514315,0.013697690665903386,0.037375035709553264,0.02422395839465125,0.15242876653777862,138.18940992738536,1825,5499.986835060998,138.18940992738536,8,staircaseramp1
5,0.09103003212364576,0.023400450612969553,0.049757234483579375,0.06379983706108423,0.03710409604306378,0.022210598346236152,0.011728439907980842,0.006510422531047933,0.03266991107940098,6.940862919881354e-05,0.041721678581499534,0.01402035882881168,0.0369222515913795,0.024527531937233695,0.15242891109136092,138.1901233732196,1389,4145.460440155999,138.1901233732196,8,staircaseramp1
6,0.09104137047788334,0.023402093915600018,0.05187352982364559,0.06436216938295705,0.035832205503414025,0.023276447827763412,0.01076786882032584,0.006511276060001966,0.03266860418183835,6.933155909126313e-05,0.041729243575571076,0.013696305976082094,0.037390111260367495,0.02421139746040518,0.15242827525135857,138.18941040211476,1590,4442.806097399,138.18941040211476,8,staircaseramp1
7,0.09103714728997382,0.02340029385410001,0.050724279266714585,0.06365555565473291,0.0355850979819292,0.022482201045638292,0.011524683722532368,0.006510269599558138,0.03266805227903386,6.953345853938445e-05,0.041706218145707845,0.01397528877357594,0.037364344538278825,0.023946447424966738,0.15243968063254457,138.19035978228092,1652,4606.696646056,138.19035978228092,8,staircaseramp1
8,0.09102817701024098,0.0234005706510292,0.04978910496018183,0.06386851791657042,0.03718917029692958,0.022285043516623096,0.011674451351267852,0.00651039376174631,0.0326701652478203,6.937594510255923e-05,0.04172545650731148,0.013978927905528583,0.03691079079297726,0.024578618928934683,0.152427148288747,138.1900884232532,1409,3966.2709392899997,138.1900884232532,8,staircaseramp1
9,0.09104142755661694,0.023402085311215397,0.0518774962503879,0.06437428919929196,0.03584639203488576,0.023286059164844553,0.010767987414310645,0.006511295560406361,0.032668659829256534,6.932925794021588e-05,0.041729519122607917,0.013688093970393549,0.03737751739076425,0.024224659336207505,0.15242823030386293,138.1894105220654,1709,4769.845118537001,138.1894105220654,8,staircaseramp1
